source,text,created_at,retweet_count,favorite_count,is_retweet,id_str
Twitter for iPhone,Join me tomorrow in Sanford or Tallahassee Florida!Sanford at 3pm:https://t.co/PZENw9KhegTallahassee at 6pm:https://t.co/WKI69e1bqD,10-24-2016 21:15:23,5926,13806,false,790662999841333249
Twitter for iPhone,THANK YOU St. Augustine Florida! Get out and VOTE! Join the MOVEMENT - and lets #DrainTheSwamp! Off to Tampa now!… https://t.co/zgwqhy2jBX,10-24-2016 20:39:38,11985,29981,false,790654003981918208
Twitter for iPhone,Join me LIVE on my Facebook page in St. Augustine Florida! Lets #DrainTheSwamp &amp; MAKE AMERICA GREAT AGAIN!… https://t.co/mPzVrcaR9L,10-24-2016 19:01:18,5396,13803,false,790629257546379264
Twitter for iPhone,Honored to receive an endorsement from @SJSOPIO - thank you! Together we are going to MAKE AMERICA SAFE &amp; GREAT AG… https://t.co/PSTcOei5t1,10-24-2016 18:30:43,10048,23274,false,790621559920615424
Twitter for iPhone,'Hillary Clinton Had Gun Control Supporters Planted In Town Hall Audience' https://t.co/1GVq74iW8a,10-24-2016 16:37:58,11458,18616,false,790593186787840000
Twitter for iPhone,Leaving West Palm Beach Florida now - heading to St. Augustine for a 3pm rally. Will be in Tampa at 7pm - join me:… https://t.co/eLunEQRxZq,10-24-2016 16:35:59,7662,20044,false,790592685144846336
Twitter for iPhone,'The Clinton Foundation’s Most Questionable Foreign Donations'#PayToPlay #DrainTheSwamphttps://t.co/IkeqMRjX5z,10-24-2016 16:04:52,10189,16778,false,790584855150997504
Twitter for iPhone,Departing Farmers Round Table in Boynton Beach Florida. Get out &amp; VOTE- lets #MAGA! EARLY VOTING BY FL. COUNTY:… https://t.co/MgJxNbxRga,10-24-2016 15:55:44,6703,16155,false,790582555871326208
Twitter for iPhone,Get out to VOTE on 11/8/2016- and we will #DrainTheSwamp!RASMUSSEN NATIONAL Trump 43%Clinton 41% https://t.co/jIOR7Bq816,10-24-2016 14:46:16,15004,31769,false,790565076159922177
Twitter for iPhone,We are winning and the press is refusing to report it. Don't let them fool you- get out and vote! #DrainTheSwamp on November 8th!,10-24-2016 14:17:35,22715,49295,false,790557856806371328
Twitter for iPhone,Why has nobody asked Kaine about the horrible views emanated on WikiLeaks about Catholics? Media in the tank for Clinton but Trump will win!,10-24-2016 13:05:36,14772,37266,false,790539740118446080
Twitter for Android,Major story that the Dems are making up phony polls in order to suppress the the Trump . We are going to WIN!,10-24-2016 12:44:29,18966,44833,false,790534428942622721
Twitter for Android,Wow just came out on secret tape that Crooked Hillary wants to take in as many Syrians as possible. We cannot let this happen - ISIS!,10-24-2016 12:00:02,25812,54253,false,790523240351498241
Twitter for iPhone,'Clinton Ally Aided Campaign of FBI Official’s Wife' https://t.co/U0w99gfyKE,10-24-2016 02:25:05,12972,20245,false,790378549395988480
Twitter for iPhone,'Clinton Charity Got Up To $56 Million From Nations That Are Anti-Women Gays' #CrookedHillaryhttps://t.co/eHsuBdi8XM,10-24-2016 00:07:47,16967,24992,false,790343997814403072
Twitter for iPhone,Thank you Naples Florida! Get out and VOTE #TrumpPence16 on 11/8. Lets #MakeAmericaGreatAgain! Full Naples rally… https://t.co/5ZbteSJ00K,10-24-2016 00:05:36,11078,26357,false,790343447987314692
Twitter for Android,The attack on Mosul is turning out to be a total disaster. We gave them months of notice. U.S. is looking so dumb. VOTE TRUMP and WIN AGAIN!,10-23-2016 23:40:14,16269,41150,false,790337063489040384
Twitter for iPhone,#CrookedHillary #PayToPlay https://t.co/BT1Nv0ZMYg,10-23-2016 19:08:42,16321,27190,false,790268732354461696
Twitter for iPhone,Join me in Naples Florida this evening at 6:00pm! Tickets: https://t.co/Oax06JVzv1 https://t.co/g9LBxI1dJ8,10-23-2016 17:56:43,6349,17147,false,790250615398133760
Twitter for iPhone,Remember - get out on November 8th &amp; VOTE #TrumpPence16. It is time to #DrainTheSwamp -- this is our last chance! https://t.co/bnGcJUt7UL,10-23-2016 16:34:32,11424,24085,false,790229932341354496
Twitter for iPhone,Former Prosecutor: The Clintons Are So Corrupt Everything ‘They Touch Turns To Molten Lead’ https://t.co/5Eyfi092vn,10-23-2016 16:30:03,11903,22537,false,790228805986217985
Twitter for iPhone,Thank you Las Vegas Review Journal! EDITORIAL: 'Donald Trump for president' https://t.co/uH5GH7Bhe0 via @reviewjournal,10-23-2016 16:23:50,9191,19939,false,790227242500644864
Twitter for Android,Well Iran has done it again. Taken two of our people and asking for a fortune for their release. This doesn't happen if I'm president!,10-23-2016 14:04:01,25671,59126,false,790192053489729538
Twitter for Android,"If you can't run your own house you certainly can't run the White House" A statement made by Mrs. Obama about Crooked Hillary Clinton,10-23-2016 12:53:51,25716,58853,false,790174395985788929
Twitter for iPhone,Thank you for the massive turnout tonight- Cleveland Ohio! Get out &amp; VOTE #TrumpPence16 on 11/8.Watch rally here:… https://t.co/XuJZeJwSGk,10-23-2016 03:00:32,14505,35965,false,790025084870287360
Twitter for iPhone,WikiLeaks: 'Clinton-Kaine Even Lied About Timing of Veep Pick'https://t.co/e1NVdpSfNr,10-23-2016 02:26:32,12215,21351,false,790016528011890688
Twitter for iPhone,'Trump lays out policies for first 100 days in White House'https://t.co/OrwOIFJuSz,10-23-2016 02:21:32,11983,25273,false,790015269074792448
Twitter for iPhone,'Huma Abedin told Clinton her secret email account caused problems'https://t.co/i4zN2QzKnf,10-23-2016 02:05:01,11734,19967,false,790011110984445952
Twitter for iPhone,Just arrived in Cleveland Ohio- join Governor @Mike_Pence and I now LIVE via: https://t.co/SS58ChFTNy,10-22-2016 23:08:25,6387,17045,false,789966670630715394
Twitter for iPhone,Hillary Clinton: 'Architect of failure'#DrainTheSwamp #CrookedHillaryhttps://t.co/b5HqsGrc7N,10-22-2016 21:34:44,10278,19786,false,789943092564652032
Twitter for iPhone,Unbelievable crowd of supporters in Virginia Beach Virginia. Thank you! Next stop - Cleveland Ohio.… https://t.co/CN3sdX5ft1,10-22-2016 21:09:56,9585,25396,false,789936850051932161
Twitter for iPhone,In order to #DrainTheSwamp &amp; create a new GOVERNMENT of by &amp; for the PEOPLE I need your VOTE! Go to https://t.co/HfihPERFgZ- LET'S #MAGA!,10-22-2016 19:54:40,12312,26379,false,789917911821520898
Twitter for iPhone,Today I introduced my Contract with the American Voter - our economy will be STRONG &amp; our people will be SAFE.… https://t.co/Sa6XUfueU4,10-22-2016 18:40:31,14916,32323,false,789899250834534400
Twitter for iPhone,Change has to come from outside our very broken system. #MAGA https://t.co/OH9Lvo3R7K,10-22-2016 18:18:43,14051,32198,false,789893765397897216
Twitter for iPhone,Crooked Hillary Clinton Tops Middle East Forum’s ‘Islamist Money List'https://t.co/JC25rNtx6G,10-22-2016 17:54:11,9788,16993,false,789887588178006017
Twitter for iPhone,Thank you Gettysburg Pennsylvania! #DrainTheSwamp https://t.co/jWgLcxDji7,10-22-2016 17:49:56,9831,23079,false,789886518303330304
Twitter for iPhone,Landing in Pennsylvania now. Great new poll this morning thank you. Lets #DrainTheSwamp and #MakeAmericaGreatAgain… https://t.co/BV2RFavG84,10-22-2016 14:20:56,15019,35331,false,789833922590957568
Twitter for iPhone,Will be in Cleveland Ohio w/ @mike_pence tonight- join us: https://t.co/hre7FofPxQNaples Florida-tomorrow @ 6pm: https://t.co/Oax06JVzv1,10-22-2016 14:01:18,5916,15035,false,789828981197602816
Twitter for Android,"@AZTRUMPTRAIN: I #Voted for DonaldTrump! #Arizona ☉ #Economy #Immigration #Jobs #Veterans #BorderControl #Trade… https://t.co/0BJk9BwkfW",10-22-2016 11:37:58,6108,15610,false,789792909969195009
Twitter for Android,"@jensen4law: Best way to pay Hillary back for what she did to @BernieSanders #DNCleak is a DonaldTrump LANDSLIDE https://t.co/Ha8o5wCyGh",10-22-2016 11:35:18,14093,25404,false,789792240390533124
Twitter for Android,The media refuses to talk about the three new national polls that have me in first place. Biggest crowds ever - watch what happens!,10-22-2016 03:33:54,23733,63178,false,789671091182632960
Twitter for Android,Just returned from Pennsylvania where we will be bringing back their jobs. Amazing crowd. Will be going back tomorrow to Gettysburg!,10-22-2016 03:23:34,11104,36589,false,789668492480016384
Twitter for iPhone,Governor @Mike_Pence and I will be in Cleveland Ohio tomorrow night at 7pm - join us! #MAGATickets:… https://t.co/kfJv5Po0x6,10-22-2016 02:41:07,8395,21553,false,789657808052621313
Twitter for iPhone,Thank you to the great crowd of supporters in Newtown Pennsylvania. Get out &amp; VOTE on 11/8/16. Lets #MAGA! Watch:… https://t.co/eb6XuMlbFW,10-22-2016 00:58:02,9518,22462,false,789631866714386432
Twitter for iPhone,#CrookedHillary sending U.S. intelligence info. to Podesta’s hacked email is ‘unquestionably an OPSEC violation’ https://t.co/z58aeo4CO7,10-21-2016 22:50:00,12065,21003,false,789599646821806085
Twitter for iPhone,WikiLeaks reveals Clinton camp’s work with ‘VERY friendly and malleable reporters’ #DrainTheSwamp #CrookedHillaryhttps://t.co/bcYLslrxi0,10-21-2016 22:46:37,9435,17268,false,789598795315150853
Twitter for iPhone,Donna Brazile Shreds Obama Economy - Acting DNC chair says 'people are more in despair about how things are' https://t.co/LQNbISSoX0,10-21-2016 22:36:04,11455,20842,false,789596138462650372
Twitter for iPhone,"{Crooked Hillary Clinton} created this mess and she knows it." #DrainTheSwamp https://t.co/3cBNYjl5CD https://t.co/sjwkuq3nkk,10-21-2016 22:30:14,11479,19719,false,789594671387447297
Twitter for iPhone,'Clinton Campaign And Harry Reid Worked With New York Times To Smear State Dept Watchdog'Time to #DrainTheSwamp! https://t.co/0VDdGdpCTg,10-21-2016 22:14:47,9734,16890,false,789590785733918721
Twitter for iPhone,VERY IRONIC: "In 2010 video Clinton lectured underlings on cybersecurity and guarding ‘sensitive information’" https://t.co/dL7VDMqSLy,10-21-2016 22:10:57,11456,20788,false,789589818581848064
Twitter for iPhone,Great crowd in Johnstown Pennsylvania- thank you. Get out &amp; VOTE on 11/8! Watch the MOVEMENT in PA. this afternoon… https://t.co/DUMlbSkVeY,10-21-2016 21:07:54,10485,24316,false,789573953144680448
Twitter for iPhone,A top Clinton Foundation official said he could name “500 different examples” of conflicts of interest. https://t.co/rtWhdYOyq7,10-21-2016 18:58:20,11985,20617,false,789541345216036864
Twitter for iPhone,#CrookedHillary “was at center of negotiating $12M commitment from King Mohammed VI of Morocco” to Clinton Fdn. https://t.co/HWOQ7jQWY2,10-21-2016 18:54:00,12036,19470,false,789540253791059974
Twitter for iPhone,Great crowd in Fletcher North Carolina- thank you! Heading to Johnstown Pennsylvania now! Get out on November 8th… https://t.co/IG5KhKIz3W,10-21-2016 17:43:39,10064,26027,false,789522551462428672
Twitter for Android,The results are in on the final debate and it is almost unanimous I WON! Thank you these are very exciting times.,10-21-2016 17:34:35,16793,56475,false,789520268972601344
Twitter for iPhone,Huma calls it a "MESS" the rest of us call it CORRUPT! WikiLeaks catches Crooked in the act - again.#DrainTheSwamp https://t.co/juvdLIJPWu,10-21-2016 15:23:39,14921,25083,false,789487320290430976
Twitter for iPhone,Hillary &amp; Obama's Broken Promises. #RepealObamacare https://t.co/oz24r2xW7G,10-20-2016 22:08:15,13418,24843,false,789226753831075841
Twitter for iPhone,In addition to those without health coverage- those that have disastrous #Obamacare are seeing MASSIVE PREMIUM INCR… https://t.co/J7ldXmUmJm,10-20-2016 21:59:48,11349,24177,false,789224624320028672
